ID,Response,Group,X1,X2,X3,X4,X5,X6,X7,Y1,Y2,Y3,Y4,Y5,Y6,Y7
1,0,0,460,460,460,50.21,9.15,2.3,273.6,1,1,1,0,0,1,0
4,0,0,39,,,92.14,26.79,3.1,534.6,1,,,1,1,1,1
6,0,0,47,141,188,58.36,11.1,2.6,643.6,1,0,0,0,0,1,1
9,0,0,56,0,0,59.5,11.68,2.7,478.5,1,0,0,0,1,1,0
10,0,0,40,120,160,65.57,14.02,2.6,189.4,1,0,0,0,1,1,0
12,0,0,62,62,62,50.63,8.31,3,1009,1,0,0,0,0,1,1
15,0,0,63,63,63,44.47,6.24,2.9,366,1,0,0,0,0,1,0
16,0,0,178,534,712,53.49,9.94,,179.3,1,1,1,0,0,,0
17,0,0,11,,,46.35,6.18,4.1,863.4,0,,,0,0,2,1
18,0,0,12,,,43.78,5.47,,231.5,0,,,0,0,,0
24,0,0,234,,,74.54,19.82,2.5,1493,1,,,1,1,1,1
28,0,0,1123,3369,4492,55.33,11.83,3.2,1777.7,1,1,1,0,1,1,1
31,0,0,63,63,63,41.94,5.48,3.1,209.3,1,0,0,0,0,1,0
32,0,0,11,33,44,51.56,7.83,2.9,332.4,0,0,0,0,0,1,0
33,0,0,39,39,39,40.58,4.94,,271.7,1,0,0,0,0,,0
34,0,0,25,25,25,79.01,19.2,3.5,467.2,0,0,0,1,1,1,0
37,0,0,8,,,64.65,12.48,,3959.6,0,,,0,1,,1
56,0,0,11,0,0,41.56,4.84,3.7,161.9,0,0,0,0,0,2,0
60,0,0,41,0,0,81.15,21.34,,636.2,1,0,0,1,1,,1
65,0,0,60,60,60,58.79,11.43,,221.2,1,0,0,0,1,,0
67,0,0,10,,,35.59,3.38,3.3,184.1,0,,,0,0,1,0
70,0,0,11,,,40.68,4.61,3.4,448,0,,,0,0,1,0
74,0,0,28,,,49.74,7.63,,987.9,0,,,0,0,,1
76,0,0,23,,,47.27,6.74,3.9,240.9,0,,,0,0,2,0
77,0,0,9,,,38.78,4.08,3.8,277.5,0,,,0,0,2,0
79,0,0,435,1305,1740,50.17,9.1,3.5,5833.5,1,1,1,0,0,1,1
84,0,0,12,12,12,36.79,3.68,,307.7,0,0,0,0,0,,0
85,0,0,17,,,38.01,4.05,,216.1,0,,,0,0,,0
88,0,0,24,,,47,6.68,3.9,922.2,0,,,0,0,2,1
90,0,0,18,,,30.81,2.51,3.3,374.7,0,,,0,0,1,0
93,0,0,8,24,32,30.87,2.4,3.8,316.1,0,0,0,0,0,2,0
94,0,0,19,,,41.67,5.03,3.2,273.4,0,,,0,0,1,0
97,0,0,8,8,8,61.43,11.21,2.7,455.9,0,0,0,0,0,1,0
102,0,0,13,,,178.2,62.15,2.9,938.1,0,,,1,1,1,1
103,0,0,21,63,84,61.3,11.78,3.9,500,0,0,0,0,1,2,0
108,0,0,13,39,52,38.59,4.13,,446.3,0,0,0,0,0,,0
110,0,0,12,,,41.74,4.91,2.4,110.3,0,,,0,0,1,0
111,0,0,32,,,65.23,13.71,4.6,685.5,0,,,0,1,2,1
112,0,0,231,,,42.42,6.07,2.7,210.5,1,,,0,0,1,0
115,0,0,9,0,0,44.05,5.45,4,585.8,0,0,0,0,0,2,1
116,0,0,33,,132,50.34,7.91,6.8,1540.8,0,,0,0,0,2,1
121,0,0,15,45,60,38.36,4.12,,132.9,0,0,0,0,0,,0
135,0,0,134,134,134,36.99,4.31,,,1,0,0,0,0,,
137,0,0,20,20,20,34.84,3.35,,,0,0,0,0,0,,
138,0,0,10,30,40,65.67,13.05,3.4,720.4,0,0,0,0,1,1,1
139,0,0,7,0,0,29.33,2.11,3.2,482.3,0,0,0,0,0,1,0
142,0,0,13,13,13,38.06,90.14,3.4,366.7,0,0,0,0,1,1,0
143,0,0,57,57,,88.64,98.29,4.1,763.2,1,0,,1,1,2,1
144,0,0,7,7,,36.32,3.46,,,0,0,,0,0,,
151,0,0,29,,,46.3,6.53,2.1,114.5,0,,,0,0,1,0
152,0,0,,,,38.27,,,,,,,0,,,
153,0,0,12,,,32.81,2.83,,,0,,,0,0,,
157,1,0,62,62,62,193.5,68.78,,1336.6,1,0,0,1,1,,1
162,1,0,9743,29229,38972,1017,99.37,3.4,8401,1,1,1,1,1,1,1
166,1,0,55,55,55,52.04,8.76,4,1584.8,1,0,0,0,0,2,1
167,1,0,257,771,,255.8,82.39,3.3,2667.2,1,1,,1,1,1,1
169,1,0,1016,3048,4064,293.8,87.64,5,,1,1,1,1,1,2,
172,1,0,10,0,0,50.88,7.56,,384.2,0,0,0,0,0,,0
175,1,0,1033,,,521,96.52,2.8,1037.6,1,,,1,1,1,1
178,1,0,1747,,,744.6,98.53,6,2470.2,1,,,1,1,2,1
181,1,0,1052,,,235.5,80.76,4.6,,1,,,1,1,2,
184,1,0,34,102,136,36.92,3.95,3.2,695.2,0,0,0,0,0,1,1
188,1,0,116,348,464,65.07,14.62,,4766.8,1,1,1,0,1,,1
191,1,0,63,189,252,126.7,44.59,3.4,1969.5,1,0,1,1,1,1,1
192,1,0,189,0,0,156.1,58.62,6.6,7329.9,1,0,0,1,1,2,1
193,1,0,967,2901,3868,1775,99.8,6.9,8388.8,1,1,1,1,1,2,1
198,1,0,155,,,158.9,59.34,4.4,1385.5,1,,,1,1,2,1
201,1,0,119,356,475,50.54,8.59,4.5,718.4,1,1,1,0,0,2,1
209,1,0,268,,,72.22,18.78,4.2,954.8,1,,,1,1,2,1
214,1,0,226,0,0,733.7,98.28,3.7,876.4,1,0,0,1,1,2,1
223,1,0,324,,,133.6,50.29,3.8,372.7,1,,,1,1,2,0
229,1,0,33,,,90.69,25.86,,514.6,0,,,1,1,,1
236,1,0,268,,,92.65,29.2,,,1,,,1,1,,
248,1,0,129,,,254.8,81.62,3.5,783.7,1,,,1,1,1,1
250,1,0,48,0,0,32.49,3.01,,1054.2,1,0,0,0,0,,1
254,1,0,95,285,380,56.21,10.66,4.7,4659.8,1,1,1,0,0,2,1
256,1,0,55,165,220,44.17,6.1,3.3,452.3,1,0,0,0,0,1,0
258,1,0,6,,,60.2,10.57,,297.9,0,,,0,0,,0
259,1,0,18,54,72,82.41,21.1,3.5,470.1,0,0,0,1,1,1,0
262,1,0,990,2970,3960,113.9,42.6,2.1,1649,1,1,1,1,1,1,1
265,1,0,33,,,50.22,7.87,3.5,418.9,0,,,0,0,1,0
266,1,0,9,9,9,59.94,10.73,2.7,209.8,0,0,0,0,0,1,0
268,1,0,603,,,134.6,51.71,3.7,1063.9,1,,,1,1,2,1
274,1,0,32,0,0,55.87,9.9,3.9,294,0,0,0,0,0,2,0
276,1,0,29,87,116,53.18,8.85,2.7,174.6,0,0,0,0,0,1,0
279,1,0,12,35,47,38.55,4.09,2.6,196.5,0,0,0,0,0,1,0
280,1,0,24,72,96,39.95,4.63,,437.1,0,0,0,0,0,,0
281,1,0,24,,,42.77,5.41,,396.8,0,,,0,0,,0
284,1,0,189,567,756,90.53,27.92,4.3,1644.7,1,1,1,1,1,2,1
286,1,0,31,,,38.66,4.37,0.9,423.5,0,,,0,0,0,0
288,1,0,27,81,108,35.49,3.56,2,121.6,0,0,0,0,0,1,0
289,1,0,26,78,104,53.94,9.07,4.5,200.2,0,0,0,0,0,2,0
290,1,0,74,,,45.43,6.61,,653.8,1,,,0,0,,1
291,1,0,51,,,66.25,14.51,4.3,389.8,1,,,0,1,2,0
294,1,0,249,747,3984,108.5,37.75,3.2,488.9,1,1,1,1,1,1,0
296,1,0,31,31,31,46.37,6.58,2.7,354.6,0,0,0,0,0,1,0
